PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPUNAVAILREASON,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,EMPAGG,EMPSBJ,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
10007803,10007803,UAHFGSATGSA,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFGSATGSA,1,1,55,55,85,66,13,CAH20-01-01,93,30,0,5,11,2,52
10007803,10007803,UAHFGSETGSE,1,1,45,45,65,65,13,CAH19-01-01,95,10,0,0,15,0,75
10007803,10007803,UAHFGSETGSE,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGSETGSE,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFGSGTGSG,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGSGTGSG,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFGSGTGSG,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFGSITGSI,1,1,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFGSITGSI,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGSITGSI,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFGSMTGSM,1,1,20,20,30,55,12,CAH17-01,85,10,0,10,10,5,65
10007803,10007803,UAHFGSMTGSM,1,1,10,10,15,75,23,CAH19-04-02,95,15,0,0,5,5,75
10007803,10007803,UAHFGSMTGSM,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFHEBJMES,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFHEBJMES,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFHEBJMTH,1,1,50,50,80,60,13,CAH09-01-01,95,20,0,0,5,0,65
10007803,10007803,UAHFHEBJMTH,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFHISSHIS,1,0,25,25,40,60,14,,85,45,0,10,0,5,45
10007803,10007803,UAHFIPATIPA,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIPATIPA,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFIPATIPA,1,1,55,55,85,66,13,CAH20-01-01,93,30,0,5,11,2,52
10007803,10007803,UAHFIPCTIPC,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIPCTIPC,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFIPCTIPC,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFIPETIPE,1,1,45,45,65,65,13,CAH19-01-01,95,10,0,0,15,0,75
10007803,10007803,UAHFIPETIPE,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIPETIPE,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFIPGTIPG,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIPGTIPG,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFIPGTIPG,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFIPLTIPL,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIPLTIPL,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFIPLTIPL,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFIPMTIPM,1,1,20,20,30,55,13,CAH17-01-01,85,10,0,10,10,5,65
10007803,10007803,UAHFIPMTIPM,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIPMTIPM,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFIPNTIPN,1,1,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIPNTIPN,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIPNTIPN,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFIPRTIPR,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIPRTIPR,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFIPSTIPS,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIPSTIPS,1,1,10,10,15,80,13,CAH19-04-04,85,5,5,0,15,10,65
10007803,10007803,UAHFIPSTIPS,1,1,15,15,20,80,23,CAH19-04-07,90,5,5,5,10,5,75
10007803,10007803,UAHFIRCTIRC,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIRCTIRC,1,1,80,80,130,62,12,CAH20-01,91,29,0,6,10,3,51
10007803,10007803,UAHFIRETIRE,1,1,45,45,65,65,13,CAH19-01-01,95,10,0,0,15,0,75
10007803,10007803,UAHFIRETIRE,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIRITIRI,1,1,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRITIRI,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIRLJITN,1,1,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLJITN,1,1,40,40,50,80,12,CAH19-04,90,10,0,5,10,10,65
10007803,10007803,UAHFIRLJMEH,1,0,80,80,145,57,23,CAH15-03-01,87,10,4,6,17,4,60
10007803,10007803,UAHFIRLJMEH,1,0,55,55,85,66,13,CAH20-01-01,93,30,0,5,11,2,52
