,PUBUKPRN,UKPRN,KISCOURSEID,KISMODE,EMPPOP,EMPRESPONSE,EMPSAMPLE,EMPRESP_RATE,WORKSTUDY,STUDY,UNEMP,PREVWORKSTUD,BOTH,NOAVAIL,WORK
243,10000291,10000291,K00565,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
244,10000291,10000291,K00565,1,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
245,10000291,10000291,K00566,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
246,10000291,10000291,K00566,1,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
247,10000291,10000291,K00567,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
248,10000291,10000291,K00568,1,15.0,15.0,20.0,75.0,85.0,20.0,5.0,5.0,20.0,0.0,50.0
249,10000291,10000291,K00568,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
250,10000291,10000291,K00569,1,15.0,15.0,20.0,75.0,85.0,20.0,5.0,5.0,20.0,0.0,50.0
251,10000291,10000291,K00569,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
252,10000291,10000291,K00572,1,40.0,40.0,50.0,75.0,85.0,5.0,5.0,5.0,10.0,5.0,75.0
253,10000291,10000291,K00573,1,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
254,10000291,10000291,K00574,1,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
255,10000291,10000291,K00575,1,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
256,10000291,10000291,K00576,1,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
257,10000291,10000291,K00577,1,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
258,10000291,10000291,K00578,1,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
259,10000291,10000291,K00579,1,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
260,10000291,10000291,K00580,1,15.0,15.0,25.0,65.0,90.0,15.0,0.0,0.0,10.0,10.0,65.0
261,10000291,10000291,K00580,1,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
262,10000291,10000291,K00581,1,15.0,15.0,25.0,65.0,90.0,15.0,0.0,0.0,10.0,10.0,65.0
263,10000291,10000291,K00581,1,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
264,10000291,10000291,K00582,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
265,10000291,10000291,K00582,1,20.0,20.0,25.0,75.0,95.0,10.0,0.0,0.0,15.0,5.0,70.0
266,10000291,10000291,K00583,1,15.0,15.0,15.0,75.0,100.0,30.0,0.0,0.0,15.0,0.0,55.0
267,10000291,10000291,K00584,1,15.0,15.0,25.0,65.0,90.0,15.0,0.0,0.0,10.0,10.0,65.0
268,10000291,10000291,K00585,1,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
269,10000291,10000291,K00586,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
270,10000291,10000291,K00587,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
271,10000291,10000291,K00588,1,20.0,20.0,35.0,55.0,95.0,10.0,0.0,5.0,15.0,0.0,70.0
272,10000291,10000291,K00589,1,20.0,20.0,35.0,55.0,95.0,10.0,0.0,5.0,15.0,0.0,70.0
273,10000291,10000291,K00590,1,10.0,10.0,20.0,55.0,85.0,0.0,10.0,0.0,25.0,10.0,60.0
274,10000291,10000291,K00591,1,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
275,10000291,10000291,K00592,1,15.0,15.0,25.0,50.0,85.0,25.0,0.0,10.0,10.0,10.0,50.0
276,10000291,10000291,K00593,1,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
277,10000291,10000291,K00595,1,45.0,45.0,90.0,50.0,90.0,10.0,0.0,0.0,0.0,5.0,80.0
278,10000291,10000291,K00596,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
279,10000291,10000291,K00597,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
280,10000291,10000291,K00598,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
281,10000291,10000291,K00599,1,35.0,35.0,55.0,65.0,90.0,10.0,5.0,5.0,15.0,5.0,70.0
282,10000291,10000291,K00600,1,20.0,20.0,35.0,55.0,80.0,20.0,0.0,10.0,10.0,10.0,50.0
283,10000291,10000291,K00601,1,15.0,15.0,25.0,65.0,90.0,15.0,0.0,0.0,10.0,10.0,65.0
284,10000291,10000291,K00601,1,20.0,20.0,35.0,55.0,80.0,20.0,0.0,10.0,10.0,10.0,50.0
285,10000291,10000291,K00602,1,20.0,20.0,35.0,55.0,95.0,10.0,0.0,5.0,15.0,0.0,70.0
286,10000291,10000291,K00604,1,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
287,10000291,10000291,K00605,1,30.0,30.0,45.0,60.0,100.0,0.0,0.0,0.0,15.0,0.0,85.0
288,10000291,10000291,K00606,2,20.0,20.0,40.0,55.0,95.0,5.0,0.0,0.0,10.0,5.0,80.0
289,10000291,10000291,K00607,1,15.0,15.0,25.0,65.0,90.0,15.0,0.0,0.0,10.0,10.0,65.0
290,10000291,10000291,K00607,1,15.0,15.0,20.0,75.0,85.0,20.0,5.0,5.0,20.0,0.0,50.0
291,10000291,10000291,K00608,1,15.0,15.0,20.0,75.0,85.0,20.0,5.0,5.0,20.0,0.0,50.0
292,10000291,10000291,K00608,1,30.0,30.0,40.0,70.0,95.0,0.0,0.0,5.0,10.0,5.0,80.0
294,10000291,10000291,K00611,1,140.0,140.0,260.0,54.0,83.0,9.0,6.0,4.0,15.0,7.0,59.0
295,10000291,10000291,K00612,1,40.0,40.0,50.0,75.0,85.0,5.0,5.0,5.0,10.0,5.0,75.0
296,10000291,10000291,K00613,1,40.0,40.0,50.0,75.0,85.0,5.0,5.0,5.0,10.0,5.0,75.0
297,10000291,10000291,K00614,1,40.0,40.0,50.0,75.0,85.0,5.0,5.0,5.0,10.0,5.0,75.0
298,10000291,10000291,K00615,1,45.0,45.0,75.0,60.0,85.0,10.0,5.0,0.0,10.0,10.0,70.0
299,10000291,10000291,K00616,1,65.0,65.0,110.0,60.0,87.0,11.0,2.0,3.0,17.0,8.0,59.0
